x	y	lnx	lny
127	0.4	4.852030264	0.336472237
128	0.4	4.859812404	0.336472237
129	0.2	4.86753445	0.182321557
130	0.4	4.875197323	0.336472237
131	0.2	4.882801923	0.182321557
132	0.4	4.890349128	0.336472237
133	0.4	4.8978398	0.336472237
134	0.5	4.905274778	0.405465108
135	0.5	4.912654886	0.405465108
136	0.1	4.919980926	0.09531018
137	0.2	4.927253685	0.182321557
138	1	4.934473933	0.693147181
139	0.4	4.941642423	0.336472237
140	0.2	4.94875989	0.182321557
141	0.4	4.955827058	0.336472237
142	0.3	4.96284463	0.262364264
143	0.2	4.9698133	0.182321557
144	0.2	4.976733742	0.182321557
145	0	4.983606622	0
146	0.4	4.990432587	0.336472237
147	0.5	4.997212274	0.405465108
148	0.1	5.003946306	0.09531018
149	0.1	5.010635294	0.09531018
150	0.5	5.017279837	0.405465108
151	0.3	5.023880521	0.262364264
152	0.2	5.030437921	0.182321557
153	0.4	5.036952602	0.336472237
154	0.5	5.043425117	0.405465108
155	0.3	5.049856007	0.262364264
156	0.1	5.056245805	0.09531018
157	0.2	5.062595033	0.182321557
158	0.2	5.068904202	0.182321557
159	0	5.075173815	0
160	0.1	5.081404365	0.09531018
161	0.1	5.087596335	0.09531018
162	0.5	5.093750201	0.405465108
163	0.3	5.099866428	0.262364264
164	0	5.105945474	0
165	0	5.111987788	0
166	0.2	5.117993812	0.182321557
167	0.2	5.123963979	0.182321557
168	0.1	5.129898715	0.09531018
169	0.2	5.135798437	0.182321557
170	0.1	5.141663557	0.09531018
171	0.1	5.147494477	0.09531018
172	0.1	5.153291594	0.09531018
173	0.3	5.159055299	0.262364264
174	0.3	5.164785974	0.262364264
175	0.1	5.170483995	0.09531018
176	0.1	5.176149733	0.09531018
177	0.1	5.18178355	0.09531018
178	0.1	5.187385806	0.09531018
179	0.1	5.192956851	0.09531018
180	0	5.198497031	0
181	0	5.204006687	0
182	0	5.209486153	0
183	0.1	5.214935758	0.09531018
184	0.1	5.220355825	0.09531018
185	0	5.225746674	0
186	0.3	5.231108617	0.262364264
187	0	5.236441963	0
188	0	5.241747015	0
189	0.1	5.247024072	0.09531018
190	0.1	5.252273428	0.09531018
191	0	5.257495372	0
192	0	5.262690189	0
193	0	5.267858159	0
194	0	5.272999559	0
195	0.2	5.278114659	0.182321557
196	0.2	5.283203729	0.182321557
197	0.3	5.288267031	0.262364264
198	0.2	5.293304825	0.182321557
199	0.2	5.298317367	0.182321557
200	0.4	5.303304908	0.336472237
201	0.1	5.308267697	0.09531018
202	0.2	5.313205979	0.182321557
203	0	5.318119994	0
204	0.1	5.323009979	0.09531018
205	0.1	5.327876169	0.09531018
206	0.1	5.332718793	0.09531018
207	0.3	5.33753808	0.262364264
208	0	5.342334252	0
209	0	5.347107531	0
210	0	5.351858133	0
211	0.1	5.356586275	0.09531018
212	0.2	5.361292166	0.182321557
213	0	5.365976015	0
214	0.2	5.370638028	0.182321557
215	0.1	5.375278408	0.09531018
216	0	5.379897354	0
